Ti.TiO2 (100%)/1	
θ/2θ, °	Intensity, cps
11.0299997329712	333.333343505859
11.039999961853	446.666656494141
11.0500001907349	393.333343505859
11.0600004196167	366.666656494141
11.0699996948242	306.666656494141
11.0799999237061	340
11.0900001525879	320
11.1000003814697	386.666656494141
11.1099996566772	300
11.1199998855591	313.333343505859
11.1300001144409	420
11.1400003433228	353.333343505859
11.1499996185303	400
11.1599998474121	346.666656494141
11.1700000762939	360
11.1800003051758	353.333343505859
11.1899995803833	346.666656494141
11.1999998092651	353.333343505859
11.210000038147	266.666656494141
11.2200002670288	260
11.2299995422363	320
11.2399997711182	320
11.25	373.333343505859
11.2600002288818	326.666656494141
11.2700004577637	373.333343505859
11.2799997329712	300
11.289999961853	353.333343505859
11.3000001907349	400
11.3100004196167	466.666656494141
11.3199996948242	286.666656494141
11.3299999237061	380
11.3400001525879	313.333343505859
11.3500003814697	313.333343505859
11.3599996566772	340
11.3699998855591	333.333343505859
11.3800001144409	320
11.3900003433228	320
11.3999996185303	353.333343505859
11.4099998474121	340
11.4200000762939	346.666656494141
11.4300003051758	326.666656494141
11.4399995803833	393.333343505859
11.4499998092651	353.333343505859
11.460000038147	300
11.4700002670288	313.333343505859
11.4799995422363	326.666656494141
11.4899997711182	313.333343505859
11.5	286.666656494141
11.5100002288818	306.666656494141
11.5200004577637	353.333343505859
11.5299997329712	313.333343505859
11.539999961853	246.66667175293
11.5500001907349	340
11.5600004196167	340
11.5699996948242	326.666656494141
11.5799999237061	326.666656494141
11.5900001525879	333.333343505859
11.6000003814697	333.333343505859
11.6099996566772	340
11.6199998855591	306.666656494141
11.6300001144409	393.333343505859
11.6400003433228	366.666656494141
11.6499996185303	340
11.6599998474121	286.666656494141
11.6700000762939	406.666656494141
11.6800003051758	313.333343505859
11.6899995803833	306.666656494141
11.6999998092651	320
11.710000038147	380
11.7200002670288	346.666656494141
11.7299995422363	266.666656494141
11.7399997711182	320
11.75	293.333343505859
11.7600002288818	253.33332824707
11.7700004577637	353.333343505859
11.7799997329712	273.333343505859
11.789999961853	300
11.8000001907349	233.33332824707
11.8100004196167	280
11.8199996948242	326.666656494141
11.8299999237061	333.333343505859
11.8400001525879	266.666656494141
11.8500003814697	273.333343505859
11.8599996566772	293.333343505859
11.8699998855591	300
11.8800001144409	266.666656494141
11.8900003433228	260
11.8999996185303	260
11.9099998474121	273.333343505859
11.9200000762939	326.666656494141
11.9300003051758	366.666656494141
11.9399995803833	360
11.9499998092651	300
11.960000038147	326.666656494141
11.9700002670288	340
11.9799995422363	360
11.9899997711182	280
12	240
12.0100002288818	353.333343505859
12.0200004577637	286.666656494141
12.0299997329712	326.666656494141
12.039999961853	386.666656494141
12.0500001907349	340
12.0600004196167	313.333343505859
12.0699996948242	240
12.0799999237061	320
12.0900001525879	393.333343505859
12.1000003814697	306.666656494141
12.1099996566772	273.333343505859
12.1199998855591	293.333343505859
12.1300001144409	326.666656494141
12.1400003433228	320
12.1499996185303	306.666656494141
12.1599998474121	266.666656494141
12.1700000762939	340
12.1800003051758	293.333343505859
12.1899995803833	366.666656494141
12.1999998092651	273.333343505859
12.210000038147	280
12.2200002670288	293.333343505859
12.2299995422363	306.666656494141
12.2399997711182	306.666656494141
12.25	320
12.2600002288818	273.333343505859
12.2700004577637	293.333343505859
12.2799997329712	320
12.289999961853	326.666656494141
12.3000001907349	353.333343505859
12.3100004196167	280
12.3199996948242	286.666656494141
12.3299999237061	360
12.3400001525879	300
12.3500003814697	306.666656494141
12.3599996566772	313.333343505859
12.3699998855591	233.33332824707
12.3800001144409	300
12.3900003433228	346.666656494141
12.3999996185303	260
12.4099998474121	233.33332824707
12.4200000762939	286.666656494141
12.4300003051758	260
12.4399995803833	266.666656494141
12.4499998092651	260
12.460000038147	320
12.4700002670288	286.666656494141
12.4799995422363	393.333343505859
12.4899997711182	313.333343505859
12.5	333.333343505859
