Ti.TiO2-IrO2 (70.30)/1	
θ/2θ, °	Intensity, cps
5	566.666687011719
5.01000022888184	580
5.01999998092651	520
5.03000020980835	513.333312988281
5.03999996185303	466.666656494141
5.05000019073486	520
5.05999994277954	533.333312988281
5.07000017166138	500
5.07999992370605	593.333312988281
5.09000015258789	520
5.09999990463257	506.666656494141
5.1100001335144	506.666656494141
5.11999988555908	546.666687011719
5.13000011444092	486.666656494141
5.1399998664856	400
5.15000009536743	506.666656494141
5.15999984741211	466.666656494141
5.17000007629395	413.333343505859
5.17999982833862	526.666687011719
5.19000005722046	480
5.19999980926514	480
5.21000003814697	440
5.21999979019165	420
5.23000001907349	366.666656494141
5.23999977111816	506.666656494141
5.25	620
5.26000022888184	533.333312988281
5.26999998092651	533.333312988281
5.28000020980835	666.666687011719
5.28999996185303	566.666687011719
5.30000019073486	593.333312988281
5.30999994277954	546.666687011719
5.32000017166138	553.333312988281
5.32999992370605	553.333312988281
5.34000015258789	540
5.34999990463257	546.666687011719
5.3600001335144	546.666687011719
5.36999988555908	473.333343505859
5.38000011444092	540
5.3899998664856	433.333343505859
5.40000009536743	573.333312988281
5.40999984741211	566.666687011719
5.42000007629395	606.666687011719
5.42999982833862	520
5.44000005722046	566.666687011719
5.44999980926514	493.333343505859
5.46000003814697	620
5.46999979019165	626.666687011719
5.48000001907349	540
5.48999977111816	533.333312988281
5.5	486.666656494141
5.51000022888184	553.333312988281
5.51999998092651	600
5.53000020980835	513.333312988281
5.53999996185303	660
5.55000019073486	493.333343505859
5.55999994277954	546.666687011719
5.57000017166138	533.333312988281
5.57999992370605	526.666687011719
5.59000015258789	546.666687011719
5.59999990463257	460
5.6100001335144	466.666656494141
5.61999988555908	560
5.63000011444092	566.666687011719
5.6399998664856	593.333312988281
5.65000009536743	620
5.65999984741211	640
5.67000007629395	580
5.67999982833862	633.333312988281
5.69000005722046	620
5.69999980926514	566.666687011719
5.71000003814697	473.333343505859
5.71999979019165	600
5.73000001907349	573.333312988281
5.73999977111816	660
5.75	600
5.76000022888184	553.333312988281
5.76999998092651	566.666687011719
