Ti.TiO2-IrO2 (80.20)/1	
θ/2θ, °	Intensity, cps
8.72000026702881	626.666687011719
8.72999954223633	586.666687011719
8.73999977111816	533.333312988281
8.75	600
8.76000022888184	633.333312988281
8.77000045776367	506.666656494141
8.77999973297119	653.333312988281
8.78999996185303	606.666687011719
8.80000019073486	666.666687011719
8.8100004196167	660
8.81999969482422	573.333312988281
8.82999992370605	580
8.84000015258789	533.333312988281
8.85000038146973	620
8.85999965667725	593.333312988281
8.86999988555908	600
8.88000011444092	613.333312988281
8.89000034332275	640
8.89999961853027	626.666687011719
8.90999984741211	526.666687011719
8.92000007629395	446.666656494141
8.93000030517578	526.666687011719
8.9399995803833	686.666687011719
8.94999980926514	666.666687011719
8.96000003814697	580
8.97000026702881	586.666687011719
8.97999954223633	613.333312988281
8.98999977111816	606.666687011719
9	626.666687011719
9.01000022888184	586.666687011719
9.02000045776367	613.333312988281
9.02999973297119	573.333312988281
9.03999996185303	653.333312988281
9.05000019073486	566.666687011719
9.0600004196167	600
9.06999969482422	580
9.07999992370605	433.333343505859
9.09000015258789	646.666687011719
9.10000038146973	620
9.10999965667725	653.333312988281
9.11999988555908	613.333312988281
9.13000011444092	580
9.14000034332275	600
9.14999961853027	640
9.15999984741211	573.333312988281
9.17000007629395	580
9.18000030517578	593.333312988281
9.1899995803833	553.333312988281
9.19999980926514	560
9.21000003814697	560
9.22000026702881	606.666687011719
9.22999954223633	553.333312988281
9.23999977111816	566.666687011719
9.25	540
9.26000022888184	566.666687011719
9.27000045776367	553.333312988281
9.27999973297119	513.333312988281
9.28999996185303	460
9.30000019073486	540
9.3100004196167	613.333312988281
9.31999969482422	540
9.32999992370605	553.333312988281
9.34000015258789	573.333312988281
9.35000038146973	586.666687011719
9.35999965667725	486.666656494141
9.36999988555908	546.666687011719
9.38000011444092	660
9.39000034332275	573.333312988281
9.39999961853027	573.333312988281
9.40999984741211	520
9.42000007629395	566.666687011719
9.43000030517578	613.333312988281
9.4399995803833	546.666687011719
9.44999980926514	526.666687011719
9.46000003814697	540
9.47000026702881	573.333312988281
9.47999954223633	600
9.48999977111816	700
9.5	526.666687011719
9.51000022888184	566.666687011719
9.52000045776367	513.333312988281
9.52999973297119	546.666687011719
9.53999996185303	653.333312988281
9.55000019073486	713.333312988281
9.5600004196167	473.333343505859
9.56999969482422	526.666687011719
9.57999992370605	466.666656494141
9.59000015258789	566.666687011719
9.60000038146973	526.666687011719
9.60999965667725	493.333343505859
9.61999988555908	606.666687011719
9.63000011444092	613.333312988281
9.64000034332275	566.666687011719
9.64999961853027	553.333312988281
9.65999984741211	493.333343505859
9.67000007629395	533.333312988281
9.68000030517578	540
9.6899995803833	526.666687011719
9.69999980926514	486.666656494141
9.71000003814697	486.666656494141
9.72000026702881	513.333312988281
9.72999954223633	560
9.73999977111816	560
9.75	553.333312988281
9.76000022888184	460
9.77000045776367	573.333312988281
9.77999973297119	660
9.78999996185303	500
9.80000019073486	626.666687011719
9.8100004196167	526.666687011719
9.81999969482422	540
9.82999992370605	533.333312988281
9.84000015258789	500
9.85000038146973	586.666687011719
9.85999965667725	546.666687011719
9.86999988555908	413.333343505859
9.88000011444092	506.666656494141
9.89000034332275	480
9.89999961853027	526.666687011719
9.90999984741211	626.666687011719
9.92000007629395	540
9.93000030517578	506.666656494141
9.9399995803833	446.666656494141
9.94999980926514	460
9.96000003814697	520
9.97000026702881	666.666687011719
9.97999954223633	560
9.98999977111816	480
10	460
10.0100002288818	453.333343505859
10.0200004577637	546.666687011719
10.0299997329712	500
10.039999961853	553.333312988281
10.0500001907349	640
10.0600004196167	480
10.0699996948242	553.333312988281
10.0799999237061	486.666656494141
10.0900001525879	513.333312988281
10.1000003814697	533.333312988281
10.1099996566772	560
10.1199998855591	560
10.1300001144409	560
10.1400003433228	473.333343505859
10.1499996185303	466.666656494141
10.1599998474121	513.333312988281
10.1700000762939	486.666656494141
10.1800003051758	506.666656494141
10.1899995803833	513.333312988281
10.1999998092651	466.666656494141
10.210000038147	513.333312988281
10.2200002670288	506.666656494141
10.2299995422363	540
10.2399997711182	600
10.25	506.666656494141
10.2600002288818	500
10.2700004577637	446.666656494141
10.2799997329712	500
10.289999961853	593.333312988281
10.3000001907349	566.666687011719
10.3100004196167	480
10.3199996948242	540
10.3299999237061	520
10.3400001525879	506.666656494141
10.3500003814697	526.666687011719
10.3599996566772	500
10.3699998855591	500
10.3800001144409	540
10.3900003433228	486.666656494141
10.3999996185303	473.333343505859
10.4099998474121	466.666656494141
10.4200000762939	533.333312988281
10.4300003051758	493.333343505859
10.4399995803833	553.333312988281
10.4499998092651	520
10.460000038147	553.333312988281
10.4700002670288	560
10.4799995422363	480
10.4899997711182	473.333343505859
10.5	466.666656494141
10.5100002288818	380
10.5200004577637	526.666687011719
10.5299997329712	553.333312988281
10.539999961853	600
10.5500001907349	586.666687011719
10.5600004196167	433.333343505859
10.5699996948242	486.666656494141
10.5799999237061	473.333343505859
10.5900001525879	493.333343505859
10.6000003814697	480
10.6099996566772	480
10.6199998855591	420
10.6300001144409	446.666656494141
10.6400003433228	500
10.6499996185303	480
10.6599998474121	520
10.6700000762939	466.666656494141
10.6800003051758	373.333343505859
10.6899995803833	446.666656494141
10.6999998092651	473.333343505859
10.710000038147	433.333343505859
10.7200002670288	526.666687011719
10.7299995422363	533.333312988281
10.7399997711182	513.333312988281
10.75	406.666656494141
10.7600002288818	506.666656494141
10.7700004577637	420
10.7799997329712	473.333343505859
10.789999961853	406.666656494141
10.8000001907349	420
10.8100004196167	486.666656494141
10.8199996948242	480
10.8299999237061	460
10.8400001525879	540
10.8500003814697	473.333343505859
10.8599996566772	466.666656494141
10.8699998855591	533.333312988281
10.8800001144409	473.333343505859
10.8900003433228	566.666687011719
10.8999996185303	433.333343505859
10.9099998474121	466.666656494141
10.9200000762939	446.666656494141
10.9300003051758	500
10.9399995803833	433.333343505859
10.9499998092651	473.333343505859
10.960000038147	446.666656494141
10.9700002670288	540
10.9799995422363	520
10.9899997711182	473.333343505859
11	466.666656494141
11.0100002288818	406.666656494141
11.0200004577637	420
11.0299997329712	513.333312988281
11.039999961853	446.666656494141
11.0500001907349	560
11.0600004196167	420
11.0699996948242	413.333343505859
11.0799999237061	506.666656494141
11.0900001525879	486.666656494141
11.1000003814697	506.666656494141
11.1099996566772	526.666687011719
11.1199998855591	413.333343505859
11.1300001144409	420
11.1400003433228	520
11.1499996185303	453.333343505859
11.1599998474121	500
11.1700000762939	413.333343505859
11.1800003051758	526.666687011719
11.1899995803833	480
11.1999998092651	353.333343505859
11.210000038147	486.666656494141
11.2200002670288	466.666656494141
11.2299995422363	500
11.2399997711182	420
11.25	493.333343505859
11.2600002288818	500
11.2700004577637	393.333343505859
11.2799997329712	466.666656494141
11.289999961853	393.333343505859
11.3000001907349	440
