Ti.IrO2 (100%)/1	
θ/2θ, °	Intensity, cps
7.59000015258789	886.666687011719
7.59999990463257	780
7.6100001335144	760
7.61999988555908	700
7.63000011444092	806.666687011719
7.6399998664856	900
7.65000009536743	786.666687011719
7.65999984741211	853.333312988281
7.67000007629395	806.666687011719
7.67999982833862	713.333312988281
7.69000005722046	780
7.69999980926514	873.333312988281
7.71000003814697	726.666687011719
7.71999979019165	793.333312988281
7.73000001907349	706.666687011719
7.73999977111816	793.333312988281
7.75	820
7.76000022888184	840
7.76999998092651	786.666687011719
7.78000020980835	766.666687011719
7.78999996185303	713.333312988281
7.80000019073486	813.333312988281
7.80999994277954	700
7.82000017166138	866.666687011719
7.82999992370605	833.333312988281
7.84000015258789	753.333312988281
7.84999990463257	913.333312988281
7.8600001335144	726.666687011719
7.86999988555908	780
7.88000011444092	726.666687011719
7.8899998664856	760
7.90000009536743	746.666687011719
7.90999984741211	720
7.92000007629395	773.333312988281
7.92999982833862	753.333312988281
7.94000005722046	746.666687011719
7.94999980926514	866.666687011719
7.96000003814697	840
7.96999979019165	720
7.98000001907349	866.666687011719
7.98999977111816	766.666687011719
8	786.666687011719
8.01000022888184	806.666687011719
8.02000045776367	773.333312988281
8.02999973297119	913.333312988281
8.03999996185303	866.666687011719
8.05000019073486	733.333312988281
8.0600004196167	720
8.06999969482422	773.333312988281
8.07999992370605	733.333312988281
8.09000015258789	766.666687011719
8.10000038146973	866.666687011719
8.10999965667725	673.333312988281
8.11999988555908	660
8.13000011444092	713.333312988281
8.14000034332275	806.666687011719
8.14999961853027	800
8.15999984741211	720
8.17000007629395	693.333312988281
8.18000030517578	826.666687011719
8.1899995803833	853.333312988281
8.19999980926514	793.333312988281
8.21000003814697	786.666687011719
8.22000026702881	680
8.22999954223633	833.333312988281
8.23999977111816	733.333312988281
8.25	766.666687011719
8.26000022888184	833.333312988281
8.27000045776367	866.666687011719
8.27999973297119	600
8.28999996185303	786.666687011719
8.30000019073486	626.666687011719
8.3100004196167	726.666687011719
8.31999969482422	660
8.32999992370605	726.666687011719
8.34000015258789	806.666687011719
8.35000038146973	846.666687011719
8.35999965667725	746.666687011719
8.36999988555908	686.666687011719
8.38000011444092	633.333312988281
8.39000034332275	693.333312988281
8.39999961853027	660
8.40999984741211	653.333312988281
8.42000007629395	733.333312988281
8.43000030517578	726.666687011719
8.4399995803833	646.666687011719
8.44999980926514	733.333312988281
8.46000003814697	633.333312988281
8.47000026702881	620
8.47999954223633	580
8.48999977111816	626.666687011719
8.5	840
8.51000022888184	780
8.52000045776367	826.666687011719
8.52999973297119	720
8.53999996185303	700
8.55000019073486	726.666687011719
8.5600004196167	740
8.56999969482422	786.666687011719
8.57999992370605	806.666687011719
8.59000015258789	733.333312988281
8.60000038146973	786.666687011719
8.60999965667725	726.666687011719
8.61999988555908	726.666687011719
8.63000011444092	780
8.64000034332275	800
8.64999961853027	640
8.65999984741211	646.666687011719
8.67000007629395	660
8.68000030517578	653.333312988281
8.6899995803833	666.666687011719
8.69999980926514	813.333312988281
8.71000003814697	666.666687011719
8.72000026702881	720
8.72999954223633	826.666687011719
8.73999977111816	600
8.75	680
8.76000022888184	706.666687011719
8.77000045776367	713.333312988281
8.77999973297119	706.666687011719
8.78999996185303	686.666687011719
8.80000019073486	800
8.8100004196167	633.333312988281
8.81999969482422	773.333312988281
8.82999992370605	800
8.84000015258789	666.666687011719
8.85000038146973	746.666687011719
8.85999965667725	646.666687011719
8.86999988555908	680
8.88000011444092	646.666687011719
8.89000034332275	693.333312988281
8.89999961853027	813.333312988281
8.90999984741211	673.333312988281
8.92000007629395	580
8.93000030517578	600
8.9399995803833	586.666687011719
8.94999980926514	620
8.96000003814697	640
8.97000026702881	640
8.97999954223633	566.666687011719
8.98999977111816	746.666687011719
9	620
9.01000022888184	673.333312988281
9.02000045776367	606.666687011719
9.02999973297119	686.666687011719
9.03999996185303	673.333312988281
9.05000019073486	646.666687011719
9.0600004196167	666.666687011719
9.06999969482422	706.666687011719
9.07999992370605	673.333312988281
9.09000015258789	733.333312988281
9.10000038146973	673.333312988281
9.10999965667725	660
9.11999988555908	626.666687011719
9.13000011444092	640
9.14000034332275	686.666687011719
9.14999961853027	673.333312988281
9.15999984741211	740
9.17000007629395	533.333312988281
9.18000030517578	706.666687011719
9.1899995803833	740
9.19999980926514	640
9.21000003814697	700
9.22000026702881	566.666687011719
9.22999954223633	633.333312988281
9.23999977111816	726.666687011719
9.25	640
9.26000022888184	573.333312988281
9.27000045776367	700
9.27999973297119	673.333312988281
9.28999996185303	506.666656494141
9.30000019073486	606.666687011719
9.3100004196167	653.333312988281
9.31999969482422	693.333312988281
9.32999992370605	573.333312988281
9.34000015258789	726.666687011719
9.35000038146973	580
9.35999965667725	746.666687011719
9.36999988555908	693.333312988281
9.38000011444092	573.333312988281
9.39000034332275	720
9.39999961853027	653.333312988281
9.40999984741211	553.333312988281
9.42000007629395	646.666687011719
9.43000030517578	600
